Object Index,Accuracy,NameofFiles_preds,NameofFiles_GTs
0,0.9406,./output/seg/success/pred_0_0.gif,./output/seg/success/gt_0_0.gif
1,0.98279995,./output/seg/success/pred_0_1.gif,./output/seg/success/gt_0_1.gif
2,0.90959996,./output/seg/success/pred_0_2.gif,./output/seg/success/gt_0_2.gif
3,0.8329,./output/seg/success/pred_0_3.gif,./output/seg/success/gt_0_3.gif
4,0.7065,./output/seg/success/pred_0_4.gif,./output/seg/success/gt_0_4.gif
5,0.9568,./output/seg/success/pred_0_5.gif,./output/seg/success/gt_0_5.gif
6,0.98499995,./output/seg/success/pred_0_6.gif,./output/seg/success/gt_0_6.gif
7,0.9575,./output/seg/success/pred_0_7.gif,./output/seg/success/gt_0_7.gif
8,0.9866,./output/seg/success/pred_0_8.gif,./output/seg/success/gt_0_8.gif
9,0.6842,./output/seg/success/pred_0_9.gif,./output/seg/success/gt_0_9.gif
10,0.796,./output/seg/success/pred_0_10.gif,./output/seg/success/gt_0_10.gif
11,0.912,./output/seg/success/pred_0_11.gif,./output/seg/success/gt_0_11.gif
12,0.90239996,./output/seg/success/pred_0_12.gif,./output/seg/success/gt_0_12.gif
13,0.85069996,./output/seg/success/pred_0_13.gif,./output/seg/success/gt_0_13.gif
14,0.9011,./output/seg/success/pred_0_14.gif,./output/seg/success/gt_0_14.gif
15,0.9109,./output/seg/success/pred_0_15.gif,./output/seg/success/gt_0_15.gif
16,0.90959996,./output/seg/success/pred_0_16.gif,./output/seg/success/gt_0_16.gif
17,0.95199996,./output/seg/success/pred_0_17.gif,./output/seg/success/gt_0_17.gif
18,0.97029996,./output/seg/success/pred_0_18.gif,./output/seg/success/gt_0_18.gif
19,0.93979996,./output/seg/success/pred_0_19.gif,./output/seg/success/gt_0_19.gif
20,0.9834,./output/seg/success/pred_0_20.gif,./output/seg/success/gt_0_20.gif
21,0.9647,./output/seg/success/pred_0_21.gif,./output/seg/success/gt_0_21.gif
22,0.7989,./output/seg/success/pred_0_22.gif,./output/seg/success/gt_0_22.gif
23,0.9727,./output/seg/success/pred_0_23.gif,./output/seg/success/gt_0_23.gif
24,0.8185,./output/seg/success/pred_0_24.gif,./output/seg/success/gt_0_24.gif
25,0.949,./output/seg/success/pred_0_25.gif,./output/seg/success/gt_0_25.gif
26,0.522,./output/seg/success/pred_0_26.gif,./output/seg/success/gt_0_26.gif
27,0.97789997,./output/seg/success/pred_0_27.gif,./output/seg/success/gt_0_27.gif
28,0.9856,./output/seg/success/pred_0_28.gif,./output/seg/success/gt_0_28.gif
29,0.7888,./output/seg/success/pred_0_29.gif,./output/seg/success/gt_0_29.gif
30,0.9654,./output/seg/success/pred_0_30.gif,./output/seg/success/gt_0_30.gif
31,0.8975,./output/seg/success/pred_0_31.gif,./output/seg/success/gt_0_31.gif
32,0.8244,./output/seg/success/pred_1_0.gif,./output/seg/success/gt_1_0.gif
33,0.91899997,./output/seg/success/pred_1_1.gif,./output/seg/success/gt_1_1.gif
34,0.96169996,./output/seg/success/pred_1_2.gif,./output/seg/success/gt_1_2.gif
35,0.9332,./output/seg/success/pred_1_3.gif,./output/seg/success/gt_1_3.gif
36,0.89059997,./output/seg/success/pred_1_4.gif,./output/seg/success/gt_1_4.gif
37,0.96919996,./output/seg/success/pred_1_5.gif,./output/seg/success/gt_1_5.gif
38,0.9357,./output/seg/success/pred_1_6.gif,./output/seg/success/gt_1_6.gif
39,0.9783,./output/seg/success/pred_1_7.gif,./output/seg/success/gt_1_7.gif
40,0.9579,./output/seg/success/pred_1_8.gif,./output/seg/success/gt_1_8.gif
41,0.811,./output/seg/success/pred_1_9.gif,./output/seg/success/gt_1_9.gif
42,0.9855,./output/seg/success/pred_1_10.gif,./output/seg/success/gt_1_10.gif
43,0.8328,./output/seg/success/pred_1_11.gif,./output/seg/success/gt_1_11.gif
44,0.965,./output/seg/success/pred_1_12.gif,./output/seg/success/gt_1_12.gif
