Object Index,Accuracy,NameofFiles_preds,NameofFiles_GTs
0,0.8732,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_0.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_0.gif
1,0.8576,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_1.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_1.gif
2,0.7193,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_2.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_2.gif
3,0.71129996,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_3.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_3.gif
4,0.66249996,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_4.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_4.gif
5,0.8455,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_5.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_5.gif
6,0.8113,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_6.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_6.gif
7,0.86969995,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_7.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_7.gif
8,0.88869995,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_8.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_8.gif
9,0.6066,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_9.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_9.gif
10,0.77059996,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_10.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_10.gif
11,0.84929997,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_11.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_11.gif
12,0.79969996,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_12.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_12.gif
13,0.8214,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_13.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_13.gif
14,0.8188,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_14.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_14.gif
15,0.7339,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_15.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_15.gif
16,0.6584,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_16.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_16.gif
17,0.6619,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_17.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_17.gif
18,0.7962,./output/segRotationXYZ_15.0_15.0_15.0/success/pred_0_18.gif,./output/segRotationXYZ_15.0_15.0_15.0/success/gt_0_18.gif
