Object Index,Accuracy
0,0.4578
1,0.3076
2,0.30339998
3,0.1378
4,0.3522
5,0.3825
6,0.38729998
7,0.3865
8,0.4123
9,0.2861
10,0.47439998
11,0.3712
12,0.2692
13,0.2521
14,0.2959
15,0.46949998
16,0.29819998
17,0.4425
18,0.23349999
19,0.4572
20,0.4317
21,0.23249999
22,0.2438
23,0.18159999
24,0.25849998
25,0.4536
26,0.2769
27,0.41849998
28,0.3091
29,0.1915
30,0.25239998
31,0.4324
32,0.2987
33,0.36769998
34,0.2843
35,0.22729999
36,0.2339
37,0.46339998
38,0.4529
39,0.4402
40,0.3074
41,0.2528
42,0.012999999
43,0.23449999
44,0.39339998
45,0.2465
46,0.23809999
47,0.23709999
48,0.1813
49,0.20969999
50,0.2057
51,0.2083
52,0.21499999
53,0.2829
54,0.16239999
55,0.1767
56,0.24839999
57,0.2068
58,0.3306
59,0.37
60,0.58669996
61,0.2012
62,0.4628
63,0.3134
64,0.2003
65,0.23689999
66,0.3509
67,0.3285
68,0.4076
69,0.3999
70,0.29389998
71,0.3292
72,0.4691
73,0.3942
74,0.3209
75,0.34149998
76,0.47059998
77,0.106599994
78,0.199
79,0.1873
80,0.153
81,0.1955
82,0.2358
83,0.30969998
84,0.20349999
85,0.2217
86,0.34149998
87,0.3812
88,0.2823
89,0.3936
90,0.2066
91,0.4183
92,0.28419998
93,0.2067
94,0.29459998
95,0.28419998
96,0.28689998
97,0.23179999
98,0.1363
99,0.1688
100,0.2409
101,0.3563
102,0.4262
103,0.4531
104,0.3302
105,0.2909
106,0.2119
107,0.3301
108,0.3996
109,0.3453
110,0.2478
111,0.3276
112,0.47349998
113,0.3321
114,0.26299998
115,0.1804
116,0.2935
117,0.44309998
118,0.29799998
119,0.4288
120,0.2778
121,0.36069998
122,0.183
123,0.22289999
124,0.2443
125,0.2791
126,0.2217
127,0.2146
128,0.299
129,0.40129998
130,0.2689
131,0.28939998
132,0.20369999
133,0.2941
134,0.1472
135,0.258
136,0.2225
137,0.3653
138,0.25759998
139,0.2755
140,0.24919999
141,0.166
142,0.2077
143,0.20109999
144,0.3967
145,0.3024
146,0.22369999
147,0.2589
148,0.3802
149,0.3096
150,0.32369998
151,0.2439
152,0.1396
153,0.3391
154,0.28849998
155,0.3373
156,0.14909999
157,0.2302
158,0.40449998
159,0.4488
160,0.2582
161,0.4669
162,0.3313
163,0.189
164,0.21059999
165,0.2245
166,0.4484
167,0.3942
168,0.24839999
169,0.3437
170,0.21589999
171,0.2251
172,0.205
173,0.3328
174,0.32729998
175,0.18599999
176,0.23269999
177,0.2065
178,0.41009998
179,0.2715
180,0.16929999
181,0.4596
182,0.2086
183,0.1742
184,0.39499998
185,0.3442
186,0.2197
187,0.1637
188,0.29189998
189,0.2008
190,0.2069
191,0.338
192,0.2671
193,0.28779998
194,0.30269998
195,0.2916
196,0.4059
197,0.31599998
198,0.36319998
199,0.4608
200,0.1206
201,0.29659998
202,0.3635
203,0.228
204,0.1821
205,0.2043
206,0.21159999
207,0.39929998
208,0.3897
209,0.32299998
210,0.4145
211,0.2172
212,0.28579998
213,0.39569998
214,0.36839998
215,0.4287
216,0.345
217,0.2561
218,0.1732
219,0.22369999
220,0.43039998
221,0.23609999
222,0.2864
223,0.3207
224,0.5105
225,0.2784
226,0.1828
227,0.3642
228,0.2545
229,0.211
230,0.36229998
231,0.2101
232,0.3136
233,0.17189999
234,0.32569999
235,0.1173
236,0.33179998
237,0.41009998
238,0.47169998
239,0.4035
240,0.2658
241,0.3391
242,0.1787
243,0.3664
244,0.23629999
245,0.4041
246,0.2428
247,0.3198
248,0.2173
249,0.2899
250,0.3721
251,0.33949998
252,0.2549
253,0.31419998
254,0.1265
255,0.21759999
256,0.23779999
257,0.35209998
258,0.28759998
259,0.1777
260,0.098299995
261,0.3251
262,0.41759998
263,0.2683
264,0.48889998
265,0.32369998
266,0.2656
267,0.37579998
268,0.2136
269,0.16129999
270,0.36089998
271,0.34039998
272,0.3748
273,0.22119999
274,0.20109999
275,0.3716
276,0.33589998
277,0.3245
278,0.4253
279,0.3466
280,0.25259998
281,0.2864
282,0.25169998
283,0.2438
284,0.3089
285,0.34129998
286,0.1749
287,0.4292
288,0.3802
289,0.1889
290,0.1322
291,0.1933
292,0.3931
293,0.2277
294,0.31669998
295,0.3238
296,0.3938
297,0.262
298,0.3865
299,0.1815
300,0.3859
301,0.40269998
302,0.4389
303,0.2269
304,0.3867
305,0.4301
306,0.2021
307,0.3175
308,0.3303
309,0.2792
310,0.0821
311,0.32259998
312,0.36069998
313,0.24419999
314,0.31419998
315,0.2641
316,0.24039999
317,0.2748
318,0.3963
319,0.3436
320,0.1495
321,0.2549
322,0.1973
323,0.2634
324,0.38709998
325,0.44799998
326,0.1822
327,0.18239999
328,0.1854
329,0.3275
330,0.1783
331,0.23189999
332,0.19129999
333,0.2017
334,0.326
335,0.22119999
336,0.1661
337,0.2022
338,0.3527
339,0.2126
340,0.4727
341,0.1963
342,0.2119
343,0.25669998
344,0.39479998
345,0.3353
346,0.2243
347,0.3412
348,0.28219998
349,0.34219998
350,0.371
351,0.4104
352,0.3267
353,0.35529998
354,0.27089998
355,0.2757
356,0.39029998
357,0.1876
358,0.1811
359,0.3502
360,0.3566
361,0.2047
362,0.387
363,0.3611
364,0.2012
365,0.19469999
