Object Index,Accuracy
0,0.058
1,0.043399997
2,0.0801
3,0.2017
4,0.322
5,0.2708
6,0.0296
7,0.0174
8,0.0818
9,0.107099995
10,0.2013
11,0.080299996
12,0.18779999
13,0.2058
14,0.15529999
15,0.057499997
16,0.1603
17,0.2008
18,0.1065
19,0.073
20,0.065799996
21,0.0323
22,0.1153
23,0.1479
24,0.3116
25,0.0916
26,0.121999994
27,0.0788
28,0.0515
29,0.3057
30,0.1961
31,0.0981
32,0.3331
33,0.0346
34,0.1522
35,0.32099998
36,0.0009
37,0.042799998
38,0.1981
39,0.0976
40,0.1156
41,0.2392
42,0.1217
43,0.3278
44,0.1633
45,0.1648
46,0.0721
47,0.17359999
48,0.0889
49,0.1847
50,0.0695
51,0.38059998
52,0.119799994
53,0.16
54,0.2652
55,0.0188
56,0.1356
57,0.1308
58,0.0924
59,0.2184
60,0.2491
61,0.0887
62,0.1744
63,0.086399995
64,0.13589999
65,0.18329999
66,0.124299996
67,0.176
68,0.2463
69,0.110199995
70,0.1387
71,0.148
72,0.1583
73,0.0871
74,0.115899995
75,0.1197
76,0.0901
77,0.34899998
78,0.106
79,0.2242
80,0.1528
81,0.1815
82,0.1964
83,0.1682
84,0.116299994
85,0.0848
86,0.1223
87,0.0962
88,0.0673
89,0.1722
90,0.0844
91,0.1361
92,0.0431
93,0.0918
94,0.14289999
95,0.1244
96,0.1356
97,0.069
98,0.1689
99,0.0848
100,0.17019999
101,0.2118
102,0.083
103,0.0532
104,0.19669999
105,0.1717
106,0.2061
107,0.1537
108,0.15169999
109,0.3708
110,0.17279999
111,0.078999996
112,0.21079999
113,0.1002
114,0.1441
115,0.137
116,0.2218
117,0.1986
118,0.095699996
119,0.091299996
120,0.0495
121,0.0896
122,0.1217
123,0.173
124,0.0976
125,0.0852
126,0.1033
127,0.1277
128,0.0471
129,0.094399996
130,0.2228
131,0.15429999
132,0.1013
133,0.0739
134,0.1397
135,0.2672
136,0.168
137,0.060099997
138,0.1183
139,0.2847
140,0.1716
141,0.1528
142,0.3145
143,0.087
144,0.1047
145,0.0898
146,0.1558
147,0.1759
148,0.2269
149,0.1678
150,0.1139
151,0.1818
152,0.0207
153,0.111999996
154,0.1529
155,0.114
156,0.1692
157,0.1244
158,0.1282
159,0.15339999
160,0.0997
161,0.0747
162,0.1274
163,0.16049999
164,0.16409999
165,0.3339
166,0.0755
167,0.047199998
168,0.122499995
169,0.1434
170,0.1269
171,0.1771
172,0.085099995
173,0.2592
174,0.1828
175,0.28939998
176,0.14819999
177,0.17449999
178,0.23879999
179,0.0534
180,0.3389
181,0.097899996
182,0.056199998
183,0.0722
184,0.1726
185,0.0731
186,0.0632
187,0.1683
188,0.0945
189,0.14649999
190,0.0651
191,0.105299994
192,0.0924
193,0.3231
194,0.17359999
195,0.1533
196,0.292
197,0.2085
198,0.3533
199,0.051
200,0.2033
201,0.1686
202,0.0279
203,0.0905
204,0.1696
205,0.033
206,0.153
207,0.16219999
208,0.1117
209,0.084699996
210,0.15789999
211,0.15339999
212,0.041899998
213,0.1418
214,0.2144
215,0.0928
216,0.1836
217,0.16149999
218,0.10349999
219,0.24309999
220,0.1161
221,0.2642
222,0.1753
223,0.1152
224,0.13
225,0.1237
226,0.1241
227,0.0889
228,0.1187
229,0.1219
230,0.1264
231,0.065799996
232,0.3189
233,0.0497
234,0.0475
235,0.2764
236,0.0148
237,0.28079998
238,0.0872
239,0.1382
240,0.0941
241,0.1095
242,0.1592
243,0.1529
244,0.1275
245,0.1441
246,0.0839
247,0.106699996
248,0.074599996
249,0.1064
250,0.0819
251,0.16669999
252,0.0676
253,0.1065
254,0.1457
255,0.082499996
256,0.25759998
257,0.107
258,0.1265
259,0.20019999
260,0.117199995
261,0.2332
262,0.1173
263,0.1898
264,0.111499995
265,0.1354
266,0.1113
267,0.1201
268,0.34019998
269,0.2575
270,0.13149999
271,0.14109999
272,0.0846
273,0.20349999
274,0.1673
275,0.1375
276,0.2051
277,0.0556
278,0.0703
279,0.1648
280,0.059
281,0.1358
282,0.1507
283,0.311
284,0.1231
285,0.066199996
286,0.1498
287,0.1697
288,0.0663
289,0.0927
290,0.0315
291,0.2091
292,0.0525
293,0.0919
294,0.1794
295,0.066599995
296,0.105299994
297,0.15789999
298,0.1205
299,0.1785
300,0.2164
301,0.1519
302,0.0779
303,0.0756
304,0.1866
305,0.2206
306,0.2697
307,0.124699995
308,0.0536
309,0.1722
310,0.15339999
311,0.2665
312,0.34
313,0.0641
314,0.1103
315,0.148
316,0.2408
317,0.1215
318,0.1485
319,0.0637
320,0.1173
321,0.13849999
322,0.3161
323,0.0907
324,0.0367
325,0.084199995
326,0.077199996
327,0.17799999
328,0.20799999
329,0.0954
330,0.21169999
331,0.1268
332,0.12629999
333,0.0426
334,0.06
335,0.3516
336,0.1245
337,0.102199994
338,0.1311
339,0.1809
340,0.0707
341,0.121599995
342,0.0766
343,0.1765
344,0.036
345,0.1639
346,0.1445
347,0.1802
348,0.1819
349,0.0755
350,0.089499995
351,0.45459998
352,0.0828
353,0.1343
354,0.22369999
355,0.109
356,0.26049998
357,0.096999995
358,0.3074
359,0.0905
360,0.1326
361,0.1179
362,0.1353
363,0.132
364,0.1352
365,0.0959
366,0.2086
367,0.1761
368,0.0947
369,0.0805
370,0.0689
371,0.1215
372,0.1876
373,0.0409
374,0.0722
375,0.155
376,0.1695
377,0.21689999
378,0.2527
379,0.108399995
380,0.2465
381,0.027099999
382,0.122899994
383,0.1714
384,0.0733
385,0.1431
386,0.199
387,0.1294
388,0.1742
389,0.123399995
390,0.3469
391,0.17379999
392,0.17999999
393,0.21689999
394,0.17549999
395,0.0451
396,0.102299996
397,0.122499995
398,0.38639998
399,0.1356
400,0.20189999
401,0.0493
402,0.16409999
403,0.0339
404,0.0941
405,0.1545
406,0.40289998
407,0.1138
408,0.0874
409,0.1314
410,0.13419999
411,0.0687
412,0.1293
413,0.057099998
414,0.4154
415,0.0972
416,0.2386
417,0.14549999
418,0.0817
419,0.0905
420,0.20009999
421,0.2259
422,0.1215
423,0.20699999
424,0.117599994
425,0.0933
426,0.2501
427,0.29549998
428,0.1299
429,0.253
430,0.0773
431,0.20439999
432,0.096
433,0.2052
434,0.0673
435,0.27109998
436,0.1484
437,0.1436
438,0.13949999
439,0.1004
440,0.1135
441,0.040599998
442,0.1855
443,0.109799996
444,0.1442
445,0.0729
446,0.0497
447,0.2034
448,0.22
449,0.2198
450,0.1741
451,0.0898
452,0.19129999
453,0.083799995
454,0.0651
455,0.1287
456,0.1727
457,0.1426
458,0.40969998
459,0.0231
460,0.17119999
461,0.1572
462,0.21229999
463,0.1697
464,0.12969999
465,0.1021
466,0.043899998
467,0.2658
468,0.346
469,0.0949
470,0.0876
471,0.0749
472,0.1047
473,0.2573
474,0.0707
475,0.1646
476,0.104899995
477,0.122499995
478,0.1121
479,0.24669999
480,0.17719999
481,0.0444
482,0.1486
483,0.112799995
484,0.1245
485,0.1911
486,0.0278
487,0.1505
488,0.103099994
489,0.16579999
490,0.1707
491,0.085599996
492,0.072799996
493,0.075399995
494,0.13239999
495,0.1732
496,0.044
497,0.15259999
498,0.0175
499,0.1458
500,0.3071
501,0.1108
502,0.2217
503,0.0907
504,0.1086
505,0.20189999
506,0.1643
507,0.0799
508,0.1135
509,0.1178
510,0.2503
511,0.0648
512,0.080299996
513,0.105
514,0.13769999
515,0.112399995
516,0.1038
517,0.2579
518,0.116299994
519,0.2296
520,0.1997
521,0.2042
522,0.25599998
523,0.1546
524,0.051099997
525,0.0731
526,0.1882
527,0.141
528,0.044999998
529,0.1467
530,0.091
531,0.1063
532,0.2026
533,0.13849999
534,0.1752
535,0.1765
536,0.1472
537,0.1577
538,0.23439999
539,0.0433
540,0.2516
541,0.2723
542,0.0317
543,0.2577
544,0.00049999997
545,0.1765
546,0.1227
547,0.21409999
548,0.116399996
549,0.5236
550,0.0535
551,0.2139
552,0.0736
553,0.1105
554,0.1358
555,0.14389999
556,0.111899994
557,0.121
558,0.2225
559,0.1583
560,0.0415
561,0.2322
562,0.097799994
563,0.19579999
564,0.1847
565,0.1278
566,0.0752
567,0.1859
568,0.0796
569,0.098299995
570,0.0528
571,0.13239999
572,0.2235
573,0.18429999
574,0.1379
575,0.1647
576,0.302
577,0.0852
578,0.2094
579,0.1416
580,0.090399995
581,0.2074
582,0.108399995
583,0.1275
584,0.1478
585,0.0178
586,0.0839
587,0.17719999
588,0.1999
589,0.2523
590,0.1519
591,0.072799996
592,0.0784
593,0.1419
594,0.1568
595,0.1231
596,0.2853
597,0.1357
598,0.1524
599,0.071899995
600,0.1007
601,0.1209
602,0.2023
603,0.0857
604,0.0752
605,0.16129999
606,0.0953
607,0.1398
608,0.095699996
609,0.110599995
610,0.0106999995
611,0.0642
612,0.093899995
613,0.0835
614,0.1322
615,0.17539999
616,0.1241
