Object Index,Accuracy,NameofFiles_preds,NameofFiles_GTs
0,0.094299994,./output/segRotationX_150.0/fail/pred_0_0.gif,./output/segRotationX_150.0/fail/gt_0_0.gif
1,0.29479998,./output/segRotationX_150.0/fail/pred_0_1.gif,./output/segRotationX_150.0/fail/gt_0_1.gif
2,0.1564,./output/segRotationX_150.0/fail/pred_0_2.gif,./output/segRotationX_150.0/fail/gt_0_2.gif
3,0.2015,./output/segRotationX_150.0/fail/pred_0_3.gif,./output/segRotationX_150.0/fail/gt_0_3.gif
4,0.2888,./output/segRotationX_150.0/fail/pred_0_4.gif,./output/segRotationX_150.0/fail/gt_0_4.gif
5,0.2395,./output/segRotationX_150.0/fail/pred_0_5.gif,./output/segRotationX_150.0/fail/gt_0_5.gif
6,0.13509999,./output/segRotationX_150.0/fail/pred_0_6.gif,./output/segRotationX_150.0/fail/gt_0_6.gif
7,0.19129999,./output/segRotationX_150.0/fail/pred_0_7.gif,./output/segRotationX_150.0/fail/gt_0_7.gif
8,0.12329999,./output/segRotationX_150.0/fail/pred_0_8.gif,./output/segRotationX_150.0/fail/gt_0_8.gif
9,0.0985,./output/segRotationX_150.0/fail/pred_0_9.gif,./output/segRotationX_150.0/fail/gt_0_9.gif
10,0.2438,./output/segRotationX_150.0/fail/pred_0_10.gif,./output/segRotationX_150.0/fail/gt_0_10.gif
11,0.1918,./output/segRotationX_150.0/fail/pred_0_11.gif,./output/segRotationX_150.0/fail/gt_0_11.gif
12,0.105299994,./output/segRotationX_150.0/fail/pred_0_12.gif,./output/segRotationX_150.0/fail/gt_0_12.gif
13,0.1504,./output/segRotationX_150.0/fail/pred_0_13.gif,./output/segRotationX_150.0/fail/gt_0_13.gif
14,0.2532,./output/segRotationX_150.0/fail/pred_0_14.gif,./output/segRotationX_150.0/fail/gt_0_14.gif
15,0.16839999,./output/segRotationX_150.0/fail/pred_0_15.gif,./output/segRotationX_150.0/fail/gt_0_15.gif
16,0.1969,./output/segRotationX_150.0/fail/pred_0_16.gif,./output/segRotationX_150.0/fail/gt_0_16.gif
17,0.2156,./output/segRotationX_150.0/fail/pred_0_17.gif,./output/segRotationX_150.0/fail/gt_0_17.gif
18,0.24159999,./output/segRotationX_150.0/fail/pred_0_18.gif,./output/segRotationX_150.0/fail/gt_0_18.gif
19,0.27429998,./output/segRotationX_150.0/fail/pred_0_19.gif,./output/segRotationX_150.0/fail/gt_0_19.gif
20,0.17109999,./output/segRotationX_150.0/fail/pred_0_20.gif,./output/segRotationX_150.0/fail/gt_0_20.gif
21,0.1435,./output/segRotationX_150.0/fail/pred_0_21.gif,./output/segRotationX_150.0/fail/gt_0_21.gif
22,0.24489999,./output/segRotationX_150.0/fail/pred_0_22.gif,./output/segRotationX_150.0/fail/gt_0_22.gif
23,0.2739,./output/segRotationX_150.0/fail/pred_0_23.gif,./output/segRotationX_150.0/fail/gt_0_23.gif
24,0.3784,./output/segRotationX_150.0/fail/pred_0_24.gif,./output/segRotationX_150.0/fail/gt_0_24.gif
25,0.3364,./output/segRotationX_150.0/fail/pred_0_25.gif,./output/segRotationX_150.0/fail/gt_0_25.gif
26,0.1576,./output/segRotationX_150.0/fail/pred_0_26.gif,./output/segRotationX_150.0/fail/gt_0_26.gif
27,0.1338,./output/segRotationX_150.0/fail/pred_0_27.gif,./output/segRotationX_150.0/fail/gt_0_27.gif
28,0.111099996,./output/segRotationX_150.0/fail/pred_0_28.gif,./output/segRotationX_150.0/fail/gt_0_28.gif
29,0.3098,./output/segRotationX_150.0/fail/pred_0_29.gif,./output/segRotationX_150.0/fail/gt_0_29.gif
30,0.25689998,./output/segRotationX_150.0/fail/pred_0_30.gif,./output/segRotationX_150.0/fail/gt_0_30.gif
31,0.0545,./output/segRotationX_150.0/fail/pred_0_31.gif,./output/segRotationX_150.0/fail/gt_0_31.gif
32,0.3631,./output/segRotationX_150.0/fail/pred_1_0.gif,./output/segRotationX_150.0/fail/gt_1_0.gif
33,0.094299994,./output/segRotationX_150.0/fail/pred_1_1.gif,./output/segRotationX_150.0/fail/gt_1_1.gif
34,0.17989999,./output/segRotationX_150.0/fail/pred_1_2.gif,./output/segRotationX_150.0/fail/gt_1_2.gif
35,0.2731,./output/segRotationX_150.0/fail/pred_1_3.gif,./output/segRotationX_150.0/fail/gt_1_3.gif
36,0.0111,./output/segRotationX_150.0/fail/pred_1_4.gif,./output/segRotationX_150.0/fail/gt_1_4.gif
37,0.1493,./output/segRotationX_150.0/fail/pred_1_5.gif,./output/segRotationX_150.0/fail/gt_1_5.gif
38,0.19739999,./output/segRotationX_150.0/fail/pred_1_6.gif,./output/segRotationX_150.0/fail/gt_1_6.gif
39,0.31419998,./output/segRotationX_150.0/fail/pred_1_7.gif,./output/segRotationX_150.0/fail/gt_1_7.gif
40,0.1428,./output/segRotationX_150.0/fail/pred_1_8.gif,./output/segRotationX_150.0/fail/gt_1_8.gif
41,0.30609998,./output/segRotationX_150.0/fail/pred_1_9.gif,./output/segRotationX_150.0/fail/gt_1_9.gif
42,0.2272,./output/segRotationX_150.0/fail/pred_1_10.gif,./output/segRotationX_150.0/fail/gt_1_10.gif
43,0.30359998,./output/segRotationX_150.0/fail/pred_1_11.gif,./output/segRotationX_150.0/fail/gt_1_11.gif
44,0.1406,./output/segRotationX_150.0/fail/pred_1_12.gif,./output/segRotationX_150.0/fail/gt_1_12.gif
45,0.3425,./output/segRotationX_150.0/fail/pred_1_13.gif,./output/segRotationX_150.0/fail/gt_1_13.gif
46,0.2698,./output/segRotationX_150.0/fail/pred_1_14.gif,./output/segRotationX_150.0/fail/gt_1_14.gif
47,0.1812,./output/segRotationX_150.0/fail/pred_1_15.gif,./output/segRotationX_150.0/fail/gt_1_15.gif
48,0.2579,./output/segRotationX_150.0/fail/pred_1_16.gif,./output/segRotationX_150.0/fail/gt_1_16.gif
49,0.2137,./output/segRotationX_150.0/fail/pred_1_17.gif,./output/segRotationX_150.0/fail/gt_1_17.gif
50,0.2712,./output/segRotationX_150.0/fail/pred_1_18.gif,./output/segRotationX_150.0/fail/gt_1_18.gif
51,0.4944,./output/segRotationX_150.0/fail/pred_1_19.gif,./output/segRotationX_150.0/fail/gt_1_19.gif
52,0.2215,./output/segRotationX_150.0/fail/pred_1_20.gif,./output/segRotationX_150.0/fail/gt_1_20.gif
53,0.2061,./output/segRotationX_150.0/fail/pred_1_21.gif,./output/segRotationX_150.0/fail/gt_1_21.gif
54,0.3534,./output/segRotationX_150.0/fail/pred_1_22.gif,./output/segRotationX_150.0/fail/gt_1_22.gif
55,0.17449999,./output/segRotationX_150.0/fail/pred_1_23.gif,./output/segRotationX_150.0/fail/gt_1_23.gif
56,0.2417,./output/segRotationX_150.0/fail/pred_1_24.gif,./output/segRotationX_150.0/fail/gt_1_24.gif
57,0.3152,./output/segRotationX_150.0/fail/pred_1_25.gif,./output/segRotationX_150.0/fail/gt_1_25.gif
58,0.0605,./output/segRotationX_150.0/fail/pred_1_26.gif,./output/segRotationX_150.0/fail/gt_1_26.gif
59,0.2183,./output/segRotationX_150.0/fail/pred_1_27.gif,./output/segRotationX_150.0/fail/gt_1_27.gif
60,0.19579999,./output/segRotationX_150.0/fail/pred_1_28.gif,./output/segRotationX_150.0/fail/gt_1_28.gif
61,0.1774,./output/segRotationX_150.0/fail/pred_1_29.gif,./output/segRotationX_150.0/fail/gt_1_29.gif
62,0.1982,./output/segRotationX_150.0/fail/pred_1_30.gif,./output/segRotationX_150.0/fail/gt_1_30.gif
63,0.2726,./output/segRotationX_150.0/fail/pred_1_31.gif,./output/segRotationX_150.0/fail/gt_1_31.gif
64,0.20009999,./output/segRotationX_150.0/fail/pred_2_0.gif,./output/segRotationX_150.0/fail/gt_2_0.gif
65,0.2279,./output/segRotationX_150.0/fail/pred_2_1.gif,./output/segRotationX_150.0/fail/gt_2_1.gif
66,0.26459998,./output/segRotationX_150.0/fail/pred_2_2.gif,./output/segRotationX_150.0/fail/gt_2_2.gif
67,0.1269,./output/segRotationX_150.0/fail/pred_2_3.gif,./output/segRotationX_150.0/fail/gt_2_3.gif
68,0.22129999,./output/segRotationX_150.0/fail/pred_2_4.gif,./output/segRotationX_150.0/fail/gt_2_4.gif
69,0.20199999,./output/segRotationX_150.0/fail/pred_2_5.gif,./output/segRotationX_150.0/fail/gt_2_5.gif
