Object Index,Accuracy,NameofFiles_preds,NameofFiles_GTs
0,0.94759995,./output/segnum_points_2500/success/pred_0_0.gif,./output/segnum_points_2500/success/gt_0_0.gif
1,0.98719996,./output/segnum_points_2500/success/pred_0_1.gif,./output/segnum_points_2500/success/gt_0_1.gif
2,0.904,./output/segnum_points_2500/success/pred_0_2.gif,./output/segnum_points_2500/success/gt_0_2.gif
3,0.83919996,./output/segnum_points_2500/success/pred_0_3.gif,./output/segnum_points_2500/success/gt_0_3.gif
4,0.7452,./output/segnum_points_2500/success/pred_0_4.gif,./output/segnum_points_2500/success/gt_0_4.gif
5,0.9568,./output/segnum_points_2500/success/pred_0_5.gif,./output/segnum_points_2500/success/gt_0_5.gif
6,0.98679996,./output/segnum_points_2500/success/pred_0_6.gif,./output/segnum_points_2500/success/gt_0_6.gif
7,0.97919995,./output/segnum_points_2500/success/pred_0_7.gif,./output/segnum_points_2500/success/gt_0_7.gif
8,0.9816,./output/segnum_points_2500/success/pred_0_8.gif,./output/segnum_points_2500/success/gt_0_8.gif
9,0.6872,./output/segnum_points_2500/success/pred_0_9.gif,./output/segnum_points_2500/success/gt_0_9.gif
10,0.8104,./output/segnum_points_2500/success/pred_0_10.gif,./output/segnum_points_2500/success/gt_0_10.gif
11,0.9496,./output/segnum_points_2500/success/pred_0_11.gif,./output/segnum_points_2500/success/gt_0_11.gif
12,0.89959997,./output/segnum_points_2500/success/pred_0_12.gif,./output/segnum_points_2500/success/gt_0_12.gif
13,0.854,./output/segnum_points_2500/success/pred_0_13.gif,./output/segnum_points_2500/success/gt_0_13.gif
14,0.9116,./output/segnum_points_2500/success/pred_0_14.gif,./output/segnum_points_2500/success/gt_0_14.gif
15,0.9032,./output/segnum_points_2500/success/pred_0_15.gif,./output/segnum_points_2500/success/gt_0_15.gif
16,0.9036,./output/segnum_points_2500/success/pred_0_16.gif,./output/segnum_points_2500/success/gt_0_16.gif
17,0.9572,./output/segnum_points_2500/success/pred_0_17.gif,./output/segnum_points_2500/success/gt_0_17.gif
18,0.96199995,./output/segnum_points_2500/success/pred_0_18.gif,./output/segnum_points_2500/success/gt_0_18.gif
19,0.9464,./output/segnum_points_2500/success/pred_0_19.gif,./output/segnum_points_2500/success/gt_0_19.gif
20,0.97599995,./output/segnum_points_2500/success/pred_0_20.gif,./output/segnum_points_2500/success/gt_0_20.gif
21,0.9712,./output/segnum_points_2500/success/pred_0_21.gif,./output/segnum_points_2500/success/gt_0_21.gif
22,0.8164,./output/segnum_points_2500/success/pred_0_22.gif,./output/segnum_points_2500/success/gt_0_22.gif
23,0.9744,./output/segnum_points_2500/success/pred_0_23.gif,./output/segnum_points_2500/success/gt_0_23.gif
24,0.834,./output/segnum_points_2500/success/pred_0_24.gif,./output/segnum_points_2500/success/gt_0_24.gif
25,0.94519997,./output/segnum_points_2500/success/pred_0_25.gif,./output/segnum_points_2500/success/gt_0_25.gif
26,0.5352,./output/segnum_points_2500/success/pred_0_26.gif,./output/segnum_points_2500/success/gt_0_26.gif
27,0.9808,./output/segnum_points_2500/success/pred_0_27.gif,./output/segnum_points_2500/success/gt_0_27.gif
28,0.9896,./output/segnum_points_2500/success/pred_0_28.gif,./output/segnum_points_2500/success/gt_0_28.gif
29,0.80719995,./output/segnum_points_2500/success/pred_0_29.gif,./output/segnum_points_2500/success/gt_0_29.gif
30,0.9572,./output/segnum_points_2500/success/pred_0_30.gif,./output/segnum_points_2500/success/gt_0_30.gif
31,0.9116,./output/segnum_points_2500/success/pred_0_31.gif,./output/segnum_points_2500/success/gt_0_31.gif
32,0.774,./output/segnum_points_2500/success/pred_1_0.gif,./output/segnum_points_2500/success/gt_1_0.gif
33,0.90959996,./output/segnum_points_2500/success/pred_1_1.gif,./output/segnum_points_2500/success/gt_1_1.gif
34,0.96559995,./output/segnum_points_2500/success/pred_1_2.gif,./output/segnum_points_2500/success/gt_1_2.gif
35,0.94,./output/segnum_points_2500/success/pred_1_3.gif,./output/segnum_points_2500/success/gt_1_3.gif
36,0.8892,./output/segnum_points_2500/success/pred_1_4.gif,./output/segnum_points_2500/success/gt_1_4.gif
37,0.95839995,./output/segnum_points_2500/success/pred_1_5.gif,./output/segnum_points_2500/success/gt_1_5.gif
38,0.94759995,./output/segnum_points_2500/success/pred_1_6.gif,./output/segnum_points_2500/success/gt_1_6.gif
39,0.97599995,./output/segnum_points_2500/success/pred_1_7.gif,./output/segnum_points_2500/success/gt_1_7.gif
40,0.94759995,./output/segnum_points_2500/success/pred_1_8.gif,./output/segnum_points_2500/success/gt_1_8.gif
41,0.7012,./output/segnum_points_2500/success/pred_1_9.gif,./output/segnum_points_2500/success/gt_1_9.gif
42,0.97639996,./output/segnum_points_2500/success/pred_1_10.gif,./output/segnum_points_2500/success/gt_1_10.gif
43,0.8472,./output/segnum_points_2500/success/pred_1_11.gif,./output/segnum_points_2500/success/gt_1_11.gif
44,0.9508,./output/segnum_points_2500/success/pred_1_12.gif,./output/segnum_points_2500/success/gt_1_12.gif
45,0.9228,./output/segnum_points_2500/success/pred_1_13.gif,./output/segnum_points_2500/success/gt_1_13.gif
